id;ism;familiya;sharif;tugilgan_kun;guruh_id
1;Mouse;Account Manors transmitter;Regional deposit;2021-05-15;1
2;payment drive;multimedia Fuerte;Borders;2021-05-14;2
3;JSON bandwidth;Oklahoma digital partnerships;Kip channels visionary;2021-05-15;3
4;Steel;index Re-engineered microchip;global;2021-05-15;4
5;Pines;function;Light Grass-roots Flats;2021-05-15;5
6;archive neural;SQL Mill;time-frame viral flexibility;2021-05-15;6
7;superstructure calculating Bedfordshire;Kids;payment Accounts;2021-05-14;7
8;ivory;payment;parsing impactful Account;2021-05-15;8
9;violet;radical;Fantastic;2021-05-15;9
10;hack Rustic;Syrian Industrial;Carolina Pizza;2021-05-14;10
